entity,scope,column,dtype,row_count,missing_count,missing_pct,nan_count,zero_count
sagsniveau,currently_effective,stamdataBygning,String,3945237,2483873,62.95877788837527,0,
sagsniveau,currently_effective,sagsdataBygning,String,3945237,2483873,62.95877788837527,0,
bygning,currently_effective_status_10,id_lokalId,String,445088,0,0.0,0,
bygning,currently_effective_status_10,status,Int32,445088,0,0.0,0,0
bygning,currently_effective_status_10,forretningsproces,Int32,445088,81,0.018198648357178805,0,138022
bygning,currently_effective_status_10,registreringFra,"Datetime(time_unit='us', time_zone='UTC')",445088,0,0.0,0,
bygning,currently_effective_status_10,virkningFra,"Datetime(time_unit='us', time_zone='UTC')",445088,0,0.0,0,
bygning,currently_effective_status_10,kommunekode,String,445088,0,0.0,0,
bygning,currently_effective_status_10,region_name,String,445088,0,0.0,0,
bygning,currently_effective_status_10,byg021BygningensAnvendelse,Int32,445088,426,0.09571140987849594,0,0
bygning,currently_effective_status_10,building_use_group,String,445088,426,0.09571140987849594,0,
bygning,currently_effective_status_10,byg026Opførelsesår,Int64,445088,28358,6.371324322381192,0,259
bygning,currently_effective_status_10,byg038SamletBygningsareal,Int64,445088,244079,54.83836904162772,0,7289
bygning,currently_effective_status_10,byg039BygningensSamledeBoligAreal,Int64,445088,374934,84.23817312531455,0,224
bygning,currently_effective_status_10,byg040BygningensSamledeErhvervsAreal,Int64,445088,311169,69.91179272413545,0,7379
bygning,currently_effective_status_10,byg041BebyggetAreal,Int64,445088,933,0.20962146811417068,0,0
bygning,currently_effective_not_status_10,id_lokalId,String,5804983,0,0.0,0,
bygning,currently_effective_not_status_10,status,Int32,5804983,0,0.0,0,0
bygning,currently_effective_not_status_10,forretningsproces,Int32,5804983,1145,0.019724433301527327,0,517718
bygning,currently_effective_not_status_10,registreringFra,"Datetime(time_unit='us', time_zone='UTC')",5804983,0,0.0,0,
bygning,currently_effective_not_status_10,virkningFra,"Datetime(time_unit='us', time_zone='UTC')",5804983,0,0.0,0,
bygning,currently_effective_not_status_10,kommunekode,String,5804983,0,0.0,0,
bygning,currently_effective_not_status_10,region_name,String,5804983,0,0.0,0,
bygning,currently_effective_not_status_10,byg021BygningensAnvendelse,Int32,5804983,30447,0.5244976600276005,0,0
bygning,currently_effective_not_status_10,building_use_group,String,5804983,30447,0.5244976600276005,0,
bygning,currently_effective_not_status_10,byg026Opførelsesår,Int64,5804983,960022,16.537895115282854,0,13
bygning,currently_effective_not_status_10,byg038SamletBygningsareal,Int64,5804983,2958313,50.96161349654254,0,72120
bygning,currently_effective_not_status_10,byg039BygningensSamledeBoligAreal,Int64,5804983,3619359,62.34917483823811,0,3213
bygning,currently_effective_not_status_10,byg040BygningensSamledeErhvervsAreal,Int64,5804983,5029984,86.64941826703024,0,80565
bygning,currently_effective_not_status_10,byg041BebyggetAreal,Int64,5804983,579440,9.981769111124011,0,17482
