scope,building_use_group,column,label,row_count,null_count,null_pct,zero_count,sum_m2
currently_effective_status_10,Institutions,byg041BebyggetAreal,Building footprint,7043,2,0.02839698991906858,0,2403324
currently_effective_status_10,Leisure,byg038SamletBygningsareal,Total floor area,22169,43,0.19396454508547972,0,1632861
currently_effective_status_10,Leisure,byg039BygningensSamledeBoligAreal,Residential area,22169,3638,16.4103026749064,9,993748
currently_effective_status_10,Leisure,byg040BygningensSamledeErhvervsAreal,Commercial area,22169,18720,84.44223916279489,8,653486
currently_effective_status_10,Leisure,byg041BebyggetAreal,Building footprint,22169,44,0.19847534845956064,0,1598177
currently_effective_status_10,Outbuildings & other,byg038SamletBygningsareal,Total floor area,241492,241015,99.80247792887549,202,35484
currently_effective_status_10,Outbuildings & other,byg039BygningensSamledeBoligAreal,Residential area,241492,241377,99.95237937488612,106,646
currently_effective_status_10,Outbuildings & other,byg040BygningensSamledeErhvervsAreal,Commercial area,241492,241036,99.81117386911367,190,35939
currently_effective_status_10,Outbuildings & other,byg041BebyggetAreal,Building footprint,241492,294,0.12174316333460322,0,7990424
currently_effective_status_10,Production & energy,byg038SamletBygningsareal,Total floor area,14217,27,0.18991348385735388,0,5060593
currently_effective_status_10,Production & energy,byg039BygningensSamledeBoligAreal,Residential area,14217,14034,98.71280860941127,11,20566
currently_effective_status_10,Production & energy,byg040BygningensSamledeErhvervsAreal,Commercial area,14217,29,0.20398114932826897,0,5212242
currently_effective_status_10,Production & energy,byg041BebyggetAreal,Building footprint,14217,24,0.1688119856509812,0,4620407
currently_effective_status_10,Transport,byg038SamletBygningsareal,Total floor area,2157,1,0.04636068613815485,0,759355
currently_effective_status_10,Transport,byg039BygningensSamledeBoligAreal,Residential area,2157,2141,99.25822902178952,1,4992
currently_effective_status_10,Transport,byg040BygningensSamledeErhvervsAreal,Commercial area,2157,1,0.04636068613815485,0,909808
currently_effective_status_10,Transport,byg041BebyggetAreal,Building footprint,2157,2,0.0927213722763097,0,642549
currently_effective_status_10,,byg038SamletBygningsareal,Total floor area,426,426,100.0,0,0
currently_effective_status_10,,byg039BygningensSamledeBoligAreal,Residential area,426,426,100.0,0,0
currently_effective_status_10,,byg040BygningensSamledeErhvervsAreal,Commercial area,426,426,100.0,0,0
currently_effective_status_10,,byg041BebyggetAreal,Building footprint,426,426,100.0,0,0
