a,b,intersection,jaccard
D1,D1,436194,1.0
D1,D2,99664,0.17726364017956872
D1,D3,99664,0.2284854904010601
D1,D4,200634,0.42455752774180444
D1,D5,200634,0.4599650614176261
D1,D6,199093,0.42444831504510055
D2,D1,99664,0.17726364017956872
D2,D2,225706,1.0
D2,D3,99664,0.44156557645787
D2,D4,101166,0.2798103730583706
D2,D5,99447,0.30421881166008446
D2,D6,101172,0.28379561060993674
D3,D1,99664,0.2284854904010601
D3,D2,99664,0.44156557645787
D3,D3,99664,1.0
D3,D4,99447,0.41920254269081775
D3,D5,99447,0.4951282293839712
D3,D6,99442,0.42828963236054163
D4,D1,200634,0.42455752774180444
D4,D2,101166,0.2798103730583706
D4,D3,99447,0.41920254269081775
D4,D4,237012,1.0
D4,D5,200634,0.8465141005518708
D4,D6,224519,0.9184471579636334
D5,D1,200634,0.4599650614176261
D5,D2,99447,0.30421881166008446
D5,D3,99447,0.4951282293839712
D5,D4,200634,0.8465141005518708
D5,D5,200634,1.0
D5,D6,199093,0.8526357263075849
D6,D1,199093,0.42444831504510055
D6,D2,101172,0.28379561060993674
D6,D3,99442,0.42828963236054163
D6,D4,224519,0.9184471579636334
D6,D5,199093,0.8526357263075849
D6,D6,231962,1.0
