indicator,indicator_name,use_code,building_use_group,last_use_discontinued,stock_buildings,demolished_buildings,demolition_rate_pct,demolished_buildings_with_area,demolished_area_coverage_pct,demolished_m2_total,median_demolished_m2_total
D1,Historical status,334,Commerce & services,false,3614,137,3.790813503043719,137,100.0,23082,87.0
D1,Historical status,416,Institutions,false,992,37,3.7298387096774195,37,100.0,7903,100.0
D1,Historical status,223,Production & energy,false,32006,1190,3.718052865087796,1190,100.0,389883,175.0
D1,Historical status,333,Commerce & services,false,7680,285,3.7109375,285,100.0,51119,84.0
D1,Historical status,322,Commerce & services,false,23910,885,3.7013801756587204,885,100.0,434333,249.0
D1,Historical status,431,Institutions,false,1407,51,3.624733475479744,51,100.0,177221,657.0
D1,Historical status,331,Commerce & services,false,3869,139,3.592659601964332,139,100.0,60946,220.0
D1,Historical status,449,Institutions,false,3016,108,3.580901856763926,108,100.0,31259,124.0
D1,Historical status,422,Institutions,false,886,31,3.4988713318284423,31,100.0,63918,602.0
D1,Historical status,585,Leisure,false,20917,704,3.3656834154037383,704,100.0,15044,17.0
D1,Historical status,451,Institutions,false,30,1,3.3333333333333335,1,100.0,84,84.0
D1,Historical status,443,Institutions,false,303,10,3.3003300330033,10,100.0,14111,240.0
D1,Historical status,521,Leisure,false,2456,81,3.298045602605863,81,100.0,10459,98.0
D1,Historical status,411,Institutions,false,955,31,3.2460732984293195,31,100.0,7477,130.0
D1,Historical status,185,Housing,false,7846,248,3.160846291103747,248,100.0,14380,42.0
D1,Historical status,221,Production & energy,false,2512,76,3.0254777070063694,76,100.0,42298,187.0
D1,Historical status,324,Commerce & services,false,629,19,3.0206677265500796,19,100.0,68914,1024.0
D1,Historical status,534,Leisure,false,337,10,2.967359050445104,10,100.0,3519,91.0
D1,Historical status,314,Transport,false,5766,168,2.91363163371488,168,100.0,49043,122.0
D1,Historical status,433,Institutions,false,2150,59,2.744186046511628,59,100.0,20096,178.0
D1,Historical status,312,Transport,false,753,20,2.6560424966799467,20,100.0,34321,216.0
D1,Historical status,419,Institutions,false,4954,127,2.563584981832862,127,100.0,17292,75.0
D1,Historical status,332,Commerce & services,false,523,12,2.294455066921606,12,100.0,1980,66.5
D1,Historical status,120,Housing,false,1426413,31801,2.229438458567049,31783,99.943398006352,3472527,100.0
D1,Historical status,532,Leisure,false,359,8,2.2284122562674096,8,100.0,6924,832.0
D1,Historical status,412,Institutions,false,2623,56,2.134959969500572,56,100.0,33051,77.5
D1,Historical status,415,Institutions,false,2436,44,1.8062397372742198,44,100.0,10848,204.5
D1,Historical status,432,Institutions,false,167,3,1.7964071856287425,3,100.0,3005,104.0
D1,Historical status,444,Institutions,false,119,2,1.680672268907563,2,100.0,133,66.5
