scope,column,label,role,row_count,null_count,null_pct,zero_count,negative_count,nonpositive_count,unusable_count,unusable_pct,positive_count,min_m2,mean_m2,median_m2,p95_m2,p99_m2,max_m2,sum_m2
currently_effective,byg130ArealAfUdvendigEfterisolering,External insulation area,supplementary,6250071,6243335,99.89222522432145,594,10,604,6243939,99.90188911453966,6132,-161,26.721496437054633,8.0,125.0,278.0,623,179996
currently_effective_status_10,byg038SamletBygningsareal,Total floor area,primary candidate,445088,244079,54.83836904162772,7289,0,7289,251368,56.47602271910274,193720,0,222.65274191702858,104.0,707.0,2110.0,150000,44755205
currently_effective_status_10,byg039BygningensSamledeBoligAreal,Residential area,use component,445088,374934,84.23817312531455,224,0,224,375158,84.28850025163563,69930,0,129.29663312141858,99.0,251.0,711.0,25074,9070676
currently_effective_status_10,byg040BygningensSamledeErhvervsAreal,Commercial area,use component,445088,311169,69.91179272413545,7379,0,7379,318548,71.56966712200733,126540,0,285.79734018324507,128.0,921.0,2676.0,150000,38273694
currently_effective_status_10,byg041BebyggetAreal,Building footprint,diagnostic only,445088,933,0.20962146811417068,0,0,0,933,0.20962146811417068,444155,1,114.7959383548536,40.0,386.0,1128.0,150000,50987190
currently_effective_status_10,byg042ArealIndbyggetGarage,Integrated garage,supplementary,445088,443188,99.57311812495506,14,0,14,443202,99.57626357035014,1886,0,37.306315789473686,29.0,80.0,164.0,641,70882
currently_effective_status_10,byg043ArealIndbyggetCarport,Integrated carport,supplementary,445088,443530,99.64995686246316,11,0,11,443541,99.652428283845,1547,0,26.750320924261874,21.0,52.0,105.0,950,41677
currently_effective_status_10,byg044ArealIndbyggetUdhus,Integrated outbuilding,supplementary,445088,430033,96.61752282694658,73,0,73,430106,96.63392407793515,14982,0,14.384390567917634,9.0,38.0,102.0,1836,216557
currently_effective_status_10,byg045ArealIndbyggetUdestueEllerLign,Integrated conservatory,supplementary,445088,440883,99.05524300812424,36,0,36,440919,99.06333129628298,4169,0,20.055172413793102,18.0,36.0,60.0,732,84332
currently_effective_status_10,byg046SamletArealAfLukkedeOverdækningerPåBygningen,Closed covered area,supplementary,445088,445006,99.98157667697174,2,0,2,445008,99.9820260263139,80,0,63.34146341463415,15.0,420.0,663.0,1170,5194
currently_effective_status_10,byg047ArealAfAffaldsrumITerrænniveau,Ground-level waste room,supplementary,445088,445011,99.98270005032713,0,0,0,445011,99.98270005032713,77,1,15.896103896103897,5.0,54.0,93.0,96,1224
currently_effective_status_10,byg048AndetAreal,Other area,use component,445088,444015,99.75892407793515,20,0,20,444035,99.76341757135667,1053,0,95.8229263746505,31.0,426.0,935.0,2810,102818
currently_effective_status_10,byg049ArealAfOverdækketAreal,Covered area,supplementary,445088,433880,97.48184628657704,64,0,64,433944,97.49622546552592,11144,0,26.123661670235546,14.0,67.0,225.0,4476,292794
currently_effective_status_10,byg050ArealÅbneOverdækningerPåBygningenSamlet,Open covered area,supplementary,445088,445088,100.0,0,0,0,445088,100.0,0,,,,,,,0
currently_effective_status_10,byg051Adgangsareal,Access area,supplementary,445088,444906,99.95910920986411,2,0,2,444908,99.95955855920627,180,0,170.34615384615384,70.5,780.0,1345.0,2094,31003
currently_effective_status_10,byg130ArealAfUdvendigEfterisolering,External insulation area,supplementary,445088,445025,99.98584549572219,25,0,25,445050,99.9914623624991,38,0,12.523809523809524,3.0,40.0,112.0,221,789
currently_effective_not_status_10,byg038SamletBygningsareal,Total floor area,primary candidate,5804983,2958313,50.96161349654254,72120,16406,88526,3046839,52.4866136558884,2758144,-39928,236.94901446251234,121.0,701.0,2527.0,194057,674515651
currently_effective_not_status_10,byg039BygningensSamledeBoligAreal,Residential area,use component,5804983,3619359,62.34917483823811,3213,8841,12054,3631413,62.55682402515218,2173570,-10307,174.7232598104706,130.0,316.0,1395.0,238296,381879350
currently_effective_not_status_10,byg040BygningensSamledeErhvervsAreal,Commercial area,use component,5804983,5029984,86.64941826703024,80565,24735,105300,5135284,88.46337706759864,669699,-39928,445.31001330324295,166.0,1632.0,4830.0,210660,345114815
currently_effective_not_status_10,byg041BebyggetAreal,Building footprint,diagnostic only,5804983,579440,9.981769111124011,17482,22168,39650,619090,10.664802980473844,5185893,-30947,124.90496719671047,60.0,350.0,1186.0,171857,652696277
