group,n,has_demolition_case,null_use,null_cyear,null_footprint,reactivated,median_versions
both,103311,1.0,0.0,0.09009689190889644,0.00030006485272623436,0.008082392000851797,4.0
kmd_only,323,0.0,0.628482972136223,0.631578947368421,0.628482972136223,0.0,3.0
d4_only,592,1.0,0.0,0.028716216216216218,0.0,0.04391891891891892,6.0
